Date,Close,High,Low,Open,Volume,sector
,VOO,VOO,VOO,VOO,VOO,ETF
2017-10-10,206.28475952148438,206.6287727349334,205.78196373128912,206.26711402194093,1027600,ETF
2017-10-11,206.61996459960938,206.61996459960938,206.0554297288279,206.1789213111997,1036400,ETF
2017-10-12,206.3024444580078,206.64645773721875,206.09073880173375,206.29361497676197,1079400,ETF
2017-10-13,206.53175354003906,206.822843729741,206.42590745635587,206.73462968695623,1067900,ETF
2017-10-16,206.85813903808594,207.01692163682168,206.4435572286209,206.76993844729884,1767300,ETF
2017-10-17,206.9904327392578,207.01689425895185,206.60231250431502,206.82283414148046,1332100,ETF
2017-10-18,207.17567443847656,207.36973456630906,207.00807583175092,207.34327304520218,1527800,ETF
2017-10-19,207.2815704345703,207.2815704345703,206.07310243335425,206.4347612315129,1653600,ETF
2017-10-20,208.31358337402344,208.34004489636115,207.75786448578367,207.996031646397,1296300,ETF
2017-10-23,207.5550079345703,208.60469328503714,207.4226868508082,208.60469328503714,1101000,ETF
2017-10-24,207.8460693359375,208.07540700590727,207.52851762236298,207.89016289816655,1818400,ETF
2017-10-25,206.8493194580078,207.65202153993368,205.7819886891249,207.55499147003525,1943400,ETF
2017-10-26,207.04339599609375,207.6520379864285,206.99928896817852,207.3785932567593,3298200,ETF
2017-10-27,208.80752563476562,208.94866271065814,207.55496437025752,207.84605454194616,2825000,ETF
2017-10-30,208.0489501953125,208.71933117933798,207.75785999631398,207.84607404191607,1292500,ETF
2017-10-31,208.28713989257812,208.58704614476463,208.08425025765038,208.40180201278173,1357600,ETF
2017-11-01,208.6488037109375,209.39858286744146,208.28715835574945,209.08103108416142,2078300,ETF
2017-11-02,208.7369842529297,208.85165982445787,207.57263687426908,208.56938563594977,1908100,ETF
2017-11-03,209.43382263183594,209.4426521122856,208.47235143299352,208.90457872823706,1934200,ETF
2017-11-06,209.75135803222656,209.839572072414,209.2397596697724,209.2662211899141,1688600,ETF
2017-11-07,209.66319274902344,210.1306976296625,209.1515808408651,209.83960739952545,1502700,ETF
2017-11-08,209.971923828125,210.04249238320025,209.18686715982932,209.4162183287178,4711000,ETF
2017-11-09,209.2133026123047,209.35443970486597,207.71375801766948,208.8163663166033,1644100,ETF
2017-11-10,209.08978271484375,209.21327428922322,208.52524788059876,208.8075220275073,1019000,ETF
2017-11-13,209.3368377685547,209.5132524298402,208.44592152076254,208.46356702476388,900000,ETF
2017-11-14,208.8251953125,208.92222538096394,207.85489462786043,208.5605666294552,2763300,ETF
2017-11-15,207.7578887939453,208.38417630155405,207.1316147459121,207.94313293155722,2436200,ETF
